date_local,nelson_tmax_c,brothers_tmax_c,takapourewa_tmax_c,date,julian
2017-06-30T09:00:00Z,13.2,12.3,13.8,2017-06-30,181
2017-07-01T09:00:00Z,13.1,13.1,12,2017-07-01,182
2017-07-02T09:00:00Z,14,13.9,12.7,2017-07-02,183
2017-07-03T09:00:00Z,14.5,14.1,13.5,2017-07-03,184
2017-07-04T09:00:00Z,14.2,12.3,12,2017-07-04,185
2017-07-05T09:00:00Z,13.4,14.3,13.8,2017-07-05,186
2017-07-06T09:00:00Z,11.6,11.6,11.2,2017-07-06,187
2017-07-07T09:00:00Z,12,10.7,9.5,2017-07-07,188
2017-07-08T09:00:00Z,11.9,11.2,10,2017-07-08,189
2017-07-09T09:00:00Z,13.6,12.8,13,2017-07-09,190
2017-07-10T09:00:00Z,16,10.9,11,2017-07-10,191
2017-07-11T09:00:00Z,12.9,13.4,10.5,2017-07-11,192
2017-07-12T09:00:00Z,13.9,12.7,12.7,2017-07-12,193
2017-07-13T09:00:00Z,11,7.6,13.5,2017-07-13,194
2017-07-14T09:00:00Z,11.4,9.1,13,2017-07-14,195
2017-07-15T09:00:00Z,10.9,9.2,14,2017-07-15,196
2017-07-16T09:00:00Z,11.5,11.2,12.5,2017-07-16,197
2017-07-17T09:00:00Z,12.8,12.7,13.5,2017-07-17,198
2017-07-18T09:00:00Z,14.6,12.3,14,2017-07-18,199
2017-07-19T09:00:00Z,12.5,11.6,10.5,2017-07-19,200
2017-07-20T09:00:00Z,11.2,12.7,13.5,2017-07-20,201
2017-07-21T09:00:00Z,14,13.5,13,2017-07-21,202
2017-07-22T09:00:00Z,13.7,13.9,13,2017-07-22,203
2017-07-23T09:00:00Z,16.5,11.4,13,2017-07-23,204
2017-07-24T09:00:00Z,12,11.4,10.5,2017-07-24,205
2017-07-25T09:00:00Z,14.2,14.1,13.5,2017-07-25,206
2017-07-26T09:00:00Z,14.4,15.9,14,2017-07-26,207
2017-07-27T09:00:00Z,15.2,14.4,13.5,2017-07-27,208
2017-07-28T09:00:00Z,13.1,12.3,12.7,2017-07-28,209
2017-07-29T09:00:00Z,12.9,7.7,9.3,2017-07-29,210
2017-07-30T09:00:00Z,9.8,9.1,10.3,2017-07-30,211
2017-07-31T09:00:00Z,11.1,10.9,12,2017-07-31,212
2017-08-01T09:00:00Z,10.4,13.4,13.5,2017-08-01,213
2017-08-02T09:00:00Z,12,12.1,12,2017-08-02,214
2017-08-03T09:00:00Z,13.1,10.1,8.7,2017-08-03,215
2017-08-04T09:00:00Z,12.3,8.7,8,2017-08-04,216
2017-08-05T09:00:00Z,11.9,9.1,9.5,2017-08-05,217
2017-08-06T09:00:00Z,13.3,13.2,11,2017-08-06,218
2017-08-07T09:00:00Z,13.9,12.6,13.3,2017-08-07,219
2017-08-08T09:00:00Z,16.4,14.5,14.5,2017-08-08,220
2017-08-09T09:00:00Z,13.5,13.2,13.5,2017-08-09,221
2017-08-10T09:00:00Z,13.6,12.6,13,2017-08-10,222
2017-08-11T09:00:00Z,13.6,12.9,12.5,2017-08-11,223
2017-08-12T09:00:00Z,14.5,14.1,13.5,2017-08-12,224
2017-08-13T09:00:00Z,16.8,17.3,14.5,2017-08-13,225
2017-08-14T09:00:00Z,15,13.9,13.5,2017-08-14,226
2017-08-15T09:00:00Z,13.5,13.2,13,2017-08-15,227
2017-08-16T09:00:00Z,13,12.1,12,2017-08-16,228
2017-08-17T09:00:00Z,14.2,13.5,13.7,2017-08-17,229
2017-08-18T09:00:00Z,17.9,14,14,2017-08-18,230
2017-08-19T09:00:00Z,14.5,13.6,14.3,2017-08-19,231
