date_local,nelson_tmin_c,brothers_tmin_c,takapourewa_tmin_c,date,julian
2012-09-27T09:00:00Z,5.1,11.4,9.1,2012-09-27,271
2012-09-28T09:00:00Z,8.1,10.6,10,2012-09-28,272
2012-09-29T09:00:00Z,5.9,10.3,10.6,2012-09-29,273
2012-09-30T09:00:00Z,6.4,11.1,9.7,2012-09-30,274
2012-10-01T09:00:00Z,7.5,12.7,10.6,2012-10-01,275
2012-10-02T09:00:00Z,4.6,10.7,8.5,2012-10-02,276
2012-10-03T09:00:00Z,9.6,11,10,2012-10-03,277
2012-10-04T09:00:00Z,10.2,12.4,10.6,2012-10-04,278
2012-10-05T09:00:00Z,7,10.4,9.1,2012-10-05,279
2012-10-06T09:00:00Z,7.1,11.6,7.7,2012-10-06,280
2012-10-07T09:00:00Z,1.8,7.5,7.3,2012-10-07,281
2012-10-08T09:00:00Z,8.2,11.1,7.2,2012-10-08,282
2012-10-09T09:00:00Z,11.1,10.9,4.4,2012-10-09,283
2012-10-10T09:00:00Z,5.6,10.1,10,2012-10-10,284
2012-10-11T09:00:00Z,5,12,10,2012-10-11,285
2012-10-12T09:00:00Z,10,12.2,10,2012-10-12,286
2012-10-13T09:00:00Z,11.5,12.2,8.8,2012-10-13,287
2012-10-14T09:00:00Z,7.1,7.6,5.2,2012-10-14,288
2012-10-15T09:00:00Z,6.4,8.5,6.2,2012-10-15,289
2012-10-16T09:00:00Z,7.5,10.8,8.8,2012-10-16,290
2012-10-17T09:00:00Z,7.7,12.1,10.2,2012-10-17,291
2012-10-18T09:00:00Z,11.1,12.6,10.5,2012-10-18,292
2012-10-19T09:00:00Z,8.7,8.7,9.5,2012-10-19,293
2012-10-20T09:00:00Z,4.8,6.2,6.1,2012-10-20,294
2012-10-21T09:00:00Z,10.5,10.9,6.2,2012-10-21,295
2012-10-22T09:00:00Z,9.1,13.4,10.6,2012-10-22,296
2012-10-23T09:00:00Z,3,7.6,6.9,2012-10-23,297
2012-10-24T09:00:00Z,3.3,8.8,7.6,2012-10-24,298
2012-10-25T09:00:00Z,6.4,11.7,9.6,2012-10-25,299
2012-10-26T09:00:00Z,7.4,9.9,9,2012-10-26,300
2012-10-27T09:00:00Z,7.1,12.1,10.3,2012-10-27,301
2012-10-28T09:00:00Z,12,13.1,11.7,2012-10-28,302
2012-10-29T09:00:00Z,8.6,11.2,11.1,2012-10-29,303
2012-10-30T09:00:00Z,9,11.3,11.3,2012-10-30,304
2012-10-31T09:00:00Z,8.5,11.9,10.6,2012-10-31,305
2012-11-01T09:00:00Z,10,11,10.9,2012-11-01,306
2012-11-02T09:00:00Z,10.7,12.8,11.6,2012-11-02,307
2012-11-03T09:00:00Z,13.8,13.1,9.7,2012-11-03,308
2012-11-04T09:00:00Z,3.6,8.3,6.7,2012-11-04,309
2012-11-05T09:00:00Z,7.9,9.9,8.3,2012-11-05,310
2012-11-06T09:00:00Z,6.9,8.1,6.8,2012-11-06,311
2012-11-07T09:00:00Z,6.3,8.2,6,2012-11-07,312
2012-11-08T09:00:00Z,5.9,8.4,7.6,2012-11-08,313
2012-11-09T09:00:00Z,6.7,9.4,8.8,2012-11-09,314
2012-11-10T09:00:00Z,7.7,12.3,10.5,2012-11-10,315
2012-11-11T09:00:00Z,11,12.6,11.5,2012-11-11,316
2012-11-12T09:00:00Z,6.1,10.5,9.7,2012-11-12,317
2012-11-13T09:00:00Z,4.6,8.3,8.8,2012-11-13,318
2012-11-14T09:00:00Z,6,8.5,7.4,2012-11-14,319
2012-11-15T09:00:00Z,9.5,11.7,10.8,2012-11-15,320
2012-11-16T09:00:00Z,9.8,11.2,11,2012-11-16,321
2012-11-17T09:00:00Z,8.5,11.9,10.4,2012-11-17,322
2012-11-18T09:00:00Z,6.7,11.7,10,2012-11-18,323
2012-11-19T09:00:00Z,6,10.5,9.1,2012-11-19,324
2012-11-20T09:00:00Z,7.5,12.4,10.5,2012-11-20,325
2012-11-21T09:00:00Z,9.1,10.8,10.1,2012-11-21,326
2012-11-22T09:00:00Z,11.3,11.9,11,2012-11-22,327
2012-11-23T09:00:00Z,10.1,12.8,11.5,2012-11-23,328
2012-11-24T09:00:00Z,9.8,12.7,12.1,2012-11-24,329
2012-11-25T09:00:00Z,9.4,12.6,11.5,2012-11-25,330
2012-11-26T09:00:00Z,15.1,14.2,11.5,2012-11-26,331
2012-11-27T09:00:00Z,13.9,13.4,12.3,2012-11-27,332
2012-11-28T09:00:00Z,13.3,14.4,12.6,2012-11-28,333
2012-11-29T09:00:00Z,12.8,13.3,11.6,2012-11-29,334
2012-11-30T09:00:00Z,10.2,8.3,7.2,2012-11-30,335
2012-12-01T09:00:00Z,9.4,10.6,8.7,2012-12-01,336
2012-12-02T09:00:00Z,13.5,12.7,8.6,2012-12-02,337
2012-12-03T09:00:00Z,15.4,14,12.5,2012-12-03,338
2012-12-04T09:00:00Z,9.6,13.2,11.5,2012-12-04,339
2012-12-05T09:00:00Z,15.1,13.1,11.1,2012-12-05,340
2012-12-06T09:00:00Z,9.3,13.6,11.6,2012-12-06,341
2012-12-07T09:00:00Z,10.5,13.3,11,2012-12-07,342
2012-12-08T09:00:00Z,8.7,10.7,9.1,2012-12-08,343
2012-12-09T09:00:00Z,9.9,12.7,11.9,2012-12-09,344
2012-12-10T09:00:00Z,11.4,13.8,12.5,2012-12-10,345
2012-12-11T09:00:00Z,12.7,13.5,12.2,2012-12-11,346
2012-12-12T09:00:00Z,11.7,12.4,11.8,2012-12-12,347
2012-12-13T09:00:00Z,12.5,13.2,12.1,2012-12-13,348
2012-12-14T09:00:00Z,11,13.8,11.9,2012-12-14,349
2012-12-15T09:00:00Z,10.9,14.1,11.8,2012-12-15,350
2012-12-16T09:00:00Z,13.4,14.1,13,2012-12-16,351
2012-12-17T09:00:00Z,13.9,14.7,14.3,2012-12-17,352
2012-12-18T09:00:00Z,17.7,15,15.4,2012-12-18,353
2012-12-19T09:00:00Z,17.1,14.6,14.3,2012-12-19,354
2012-12-20T09:00:00Z,12.6,14,13.5,2012-12-20,355
2012-12-21T09:00:00Z,11.3,14.8,13.5,2012-12-21,356
2012-12-22T09:00:00Z,15.7,13.7,14.5,2012-12-22,357
2012-12-23T09:00:00Z,14.3,14.1,13.5,2012-12-23,358
2012-12-24T09:00:00Z,13.1,14.7,15.4,2012-12-24,359
2012-12-25T09:00:00Z,17,15.1,16.5,2012-12-25,360
2012-12-26T09:00:00Z,20.9,16.4,18.6,2012-12-26,361
2012-12-27T09:00:00Z,18.2,13.4,13,2012-12-27,362
2012-12-28T09:00:00Z,16.9,13.4,13,2012-12-28,363
2012-12-29T09:00:00Z,17,15,13.5,2012-12-29,364
2012-12-30T09:00:00Z,18,15.5,15,2012-12-30,365
2012-12-31T09:00:00Z,10.3,15.6,13.3,2012-12-31,366
2013-01-01T09:00:00Z,14.2,15.5,13.8,2013-01-01,1
2013-01-02T09:00:00Z,16,15.6,15,2013-01-02,2
2013-01-03T09:00:00Z,10,13.7,6.5,2013-01-03,3
2013-01-04T09:00:00Z,10.1,12.9,12,2013-01-04,4
2013-01-05T09:00:00Z,9.1,13,12,2013-01-05,5
2013-01-06T09:00:00Z,12.6,15.3,15.4,2013-01-06,6
2013-01-07T09:00:00Z,13.4,13.6,13.6,2013-01-07,7
2013-01-08T09:00:00Z,14.2,12.8,12.8,2013-01-08,8
2013-01-09T09:00:00Z,13.4,15.2,13.8,2013-01-09,9
2013-01-10T09:00:00Z,18.1,16.3,13,2013-01-10,10
2013-01-11T09:00:00Z,10.3,15.2,11.2,2013-01-11,11
2013-01-12T09:00:00Z,11.6,15.2,13.7,2013-01-12,12
2013-01-13T09:00:00Z,14.1,15.7,16,2013-01-13,13
2013-01-14T09:00:00Z,18.2,16.1,16,2013-01-14,14
2013-01-15T09:00:00Z,12.9,13.8,12.6,2013-01-15,15
2013-01-16T09:00:00Z,10.6,13.1,12.6,2013-01-16,16
2013-01-17T09:00:00Z,10.6,15.7,13.5,2013-01-17,17
2013-01-18T09:00:00Z,6.4,10.5,10.3,2013-01-18,18
2013-01-19T09:00:00Z,11.6,12,11.2,2013-01-19,19
2013-01-20T09:00:00Z,11.6,14.1,13.5,2013-01-20,20
2013-01-21T09:00:00Z,11.5,15.2,14.8,2013-01-21,21
2013-01-22T09:00:00Z,13,14.7,14,2013-01-22,22
2013-01-23T09:00:00Z,17.6,16.8,15.8,2013-01-23,23
